timestamp,cpu_percent,memory_percent,memory_gb,disk_read_mb,disk_write_mb,power_kw,carbon_kg_per_5min,carbon_kg_per_hour
2026-01-12T04:00:11.699012,0.0,44.2,0.39471435546875,5007.67919921875,7652.123046875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T04:05:12.710030,0.0,44.4,0.3966178894042969,5007.67919921875,7652.587890625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T04:10:13.721613,0.5,44.4,0.3966178894042969,5007.67919921875,7652.966796875,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T04:15:14.732829,0.5,44.4,0.3966026306152344,5007.67919921875,7653.474609375,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T04:20:15.743807,0.5,44.4,0.3965950012207031,5007.67919921875,7654.134765625,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T04:25:16.755159,0.0,44.4,0.3965797424316406,5007.67919921875,7654.826171875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T04:30:17.767890,0.0,44.4,0.3965721130371094,5007.67919921875,7655.236328125,0.0036,0.0001245,0.0014939999999999999
2026-01-12T04:35:18.779253,0.0,44.4,0.3968048095703125,5007.67919921875,7655.658203125,0.0036,0.0001245,0.0014939999999999999
2026-01-12T04:40:19.790527,0.0,44.4,0.39679718017578125,5007.67919921875,7656.068359375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T04:45:20.801924,0.0,44.6,0.3977546691894531,5007.67919921875,7656.763671875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T04:50:21.813205,0.0,45.5,0.4058799743652344,5007.67919921875,7657.458984375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T04:55:22.824506,0.0,45.5,0.4058799743652344,5007.67919921875,7657.947265625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:00:23.835826,0.0,45.5,0.4058723449707031,5007.67919921875,7658.349609375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:05:24.847209,0.0,45.5,0.4058685302734375,5007.67919921875,7659.021484375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:10:25.858464,0.0,45.5,0.4058647155761719,5007.67919921875,7659.193359375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:15:26.869718,0.0,45.5,0.4058570861816406,5007.67919921875,7660.025390625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:20:27.881132,36.5,54.8,0.488922119140625,5270.32763671875,7711.873046875,0.006666,0.0002305325,0.00276639
2026-01-12T05:25:28.896700,1.0,48.7,0.43486785888671875,5469.19091796875,7948.966796875,0.003684,0.00012740499999999998,0.00152886
2026-01-12T05:30:29.908070,0.0,48.7,0.4345588684082031,5469.48779296875,7949.544921875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:35:30.919431,0.0,47.9,0.4275245666503906,5476.08544921875,7950.439453125,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:40:31.930773,0.0,47.9,0.42775726318359375,5476.08544921875,7950.638671875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:45:32.942045,0.0,46.9,0.41887664794921875,5477.17919921875,7951.896484375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:50:33.953291,0.0,46.9,0.4188690185546875,5477.17919921875,7952.080078125,0.0036,0.0001245,0.0014939999999999999
2026-01-12T05:55:34.964842,0.5,46.9,0.4188652038574219,5477.17919921875,7952.751953125,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T06:00:35.976592,0.5,46.9,0.4188575744628906,5477.17919921875,7952.916015625,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T06:05:36.989330,0.0,46.9,0.419097900390625,5477.17919921875,7953.619140625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:10:38.002011,0.0,46.9,0.419097900390625,5477.17919921875,7953.787109375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:15:39.014097,0.0,46.9,0.4190864562988281,5477.17919921875,7954.693359375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:20:40.027039,0.0,46.9,0.41907501220703125,5477.17919921875,7955.154296875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:25:41.038729,0.0,50.1,0.4468421936035156,5571.46435546875,8026.904296875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:30:42.051190,0.0,48.8,0.4353141784667969,5571.56201171875,8027.322265625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:35:43.062695,0.5,48.8,0.4355430603027344,5571.56201171875,8028.021484375,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T06:40:44.074229,0.0,47.7,0.4261054992675781,5572.28466796875,8028.724609375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:45:45.086016,0.0,47.7,0.42609405517578125,5572.28466796875,8029.396484375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:50:46.097606,0.0,47.7,0.42609405517578125,5572.28466796875,8029.564453125,0.0036,0.0001245,0.0014939999999999999
2026-01-12T06:55:47.109765,0.0,47.7,0.4260711669921875,5572.28466796875,8030.208984375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:00:48.121528,0.0,47.7,0.4260673522949219,5572.28466796875,8030.396484375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:05:49.133182,0.0,47.7,0.4260444641113281,5572.28466796875,8031.103515625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:10:50.144750,0.5,44.3,0.39553070068359375,5572.28466796875,8033.216796875,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T07:15:51.156309,0.0,44.2,0.3944244384765625,5572.28466796875,8034.658203125,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:20:52.167865,0.0,44.3,0.3958549499511719,5572.28466796875,8035.560546875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:25:53.179635,0.0,44.1,0.3940391540527344,5572.28466796875,8036.650390625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:30:54.191287,0.0,44.6,0.3980751037597656,5572.28466796875,8037.306640625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:35:55.203274,0.0,44.4,0.3962821960449219,5572.28466796875,8038.373046875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:40:56.215020,0.5,44.5,0.3969993591308594,5572.28466796875,8038.802734375,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T07:45:57.226752,0.0,44.5,0.3969879150390625,5572.28466796875,8039.248046875,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:50:58.238778,0.0,44.6,0.3983917236328125,5572.28466796875,8040.005859375,0.0036,0.0001245,0.0014939999999999999
2026-01-12T07:55:59.250490,1.0,44.6,0.3983650207519531,5572.28466796875,8040.478515625,0.003684,0.00012740499999999998,0.00152886
2026-01-12T08:01:00.265705,0.5,44.7,0.3993110656738281,5572.28466796875,8041.091796875,0.003642,0.00012595249999999998,0.0015114299999999998
2026-01-12T08:06:01.297904,0.0,44.7,0.3993034362792969,5572.28466796875,8041.541015625,0.0036,0.0001245,0.0014939999999999999
2026-01-12T08:11:02.337660,0.0,44.7,0.3992919921875,5572.28466796875,8041.955078125,0.0036,0.0001245,0.0014939999999999999
2026-01-12T08:16:03.352287,0.0,44.7,0.39928436279296875,5572.28466796875,8042.439453125,0.0036,0.0001245,0.0014939999999999999
2026-01-12T08:21:04.364151,0.0,44.9,0.4004669189453125,5572.28466796875,8043.341796875,0.0036,0.0001245,0.0014939999999999999
